00001 A00     0 Cholera                                                      Cholera
09528 M8648   1 Chronic osteomyelitis with draining sinus (Other)            Chronic osteomyelitis with draining sinus (Other)
09529 M8649   1 Chronic osteomyelitis with draining sinus (Site un           Chronic osteomyelitis with draining sinus (Site unspecified)
09530 M865    0 Other chronic haematogenous osteomyelitis                    Other chronic haematogenous osteomyelitis
09531 M8650   1 Other chronic haematogenous osteomyelitis (Multipl           Other chronic haematogenous osteomyelitis (Multiple sites)
09532 M8651   1 Other chronic haematogenous osteomyelitis (Shoulde           Other chronic haematogenous osteomyelitis (Shoulder region)
09533 M8652   1 Other chronic haematogenous osteomyelitis (Upper a           Other chronic haematogenous osteomyelitis (Upper arm)
09534 M8653   1 Other chronic haematogenous osteomyelitis (Forearm           Other chronic haematogenous osteomyelitis (Forearm)
09535 M8654   1 Other chronic haematogenous osteomyelitis (Hand)             Other chronic haematogenous osteomyelitis (Hand)
09536 M8655   1 Other chronic haematogenous osteomyelitis (Pelvic            Other chronic haematogenous osteomyelitis (Pelvic region and thigh)
09537 M8656   1 Other chronic haematogenous osteomyelitis (Lower l           Other chronic haematogenous osteomyelitis (Lower leg)
09538 M8657   1 Other chronic haematogenous osteomyelitis (Ankle a           Other chronic haematogenous osteomyelitis (Ankle and foot)
09539 M8658   1 Other chronic haematogenous osteomyelitis (Other)            Other chronic haematogenous osteomyelitis (Other)
09540 M8659   1 Other chronic haematogenous osteomyelitis (Site un           Other chronic haematogenous osteomyelitis (Site unspecified)
09541 M866    0 Other chronic osteomyelitis                                  Other chronic osteomyelitis
09542 M8660   1 Other chronic osteomyelitis (Multiple sites)                 Other chronic osteomyelitis (Multiple sites)
09543 M8661   1 Other chronic osteomyelitis (Shoulder region)                Other chronic osteomyelitis (Shoulder region)
09544 M8662   1 Other chronic osteomyelitis (Upper arm)                      Other chronic osteomyelitis (Upper arm)
09545 M8663   1 Other chronic osteomyelitis (Forearm)                        Other chronic osteomyelitis (Forearm)
09546 M8664   1 Other chronic osteomyelitis (Hand)                           Other chronic osteomyelitis (Hand)
09547 M8665   1 Other chronic osteomyelitis (Pelvic region and thi           Other chronic osteomyelitis (Pelvic region and thigh)
09548 M8666   1 Other chronic osteomyelitis (Lower leg)                      Other chronic osteomyelitis (Lower leg)
09549 M8667   1 Other chronic osteomyelitis (Ankle and foot)                 Other chronic osteomyelitis (Ankle and foot)
09550 M8668   1 Other chronic osteomyelitis (Other)                          Other chronic osteomyelitis (Other)
09551 M8669   1 Other chronic osteomyelitis (Site unspecified)               Other chronic osteomyelitis (Site unspecified)
09552 M868    0 Other osteomyelitis                                          Other osteomyelitis
09553 M8680   1 Other osteomyelitis (Multiple sites)                         Other osteomyelitis (Multiple sites)
09554 M8681   1 Other osteomyelitis (Shoulder region)                        Other osteomyelitis (Shoulder region)
09555 M8682   1 Other osteomyelitis (Upper arm)                              Other osteomyelitis (Upper arm)
09556 M8683   1 Other osteomyelitis (Forearm)                                Other osteomyelitis (Forearm)
09557 M8684   1 Other osteomyelitis (Hand)                                   Other osteomyelitis (Hand)
09558 M8685   1 Other osteomyelitis (Pelvic region and thigh)                Other osteomyelitis (Pelvic region and thigh)
09559 M8686   1 Other osteomyelitis (Lower leg)                              Other osteomyelitis (Lower leg)
09560 M8687   1 Other osteomyelitis (Ankle and foot)                         Other osteomyelitis (Ankle and foot)
09561 M8688   1 Other osteomyelitis (Other)                                  Other osteomyelitis (Other)
09562 M8689   1 Other osteomyelitis (Site unspecified)                       Other osteomyelitis (Site unspecified)
09563 M869    0 Osteomyelitis, unspecified                                   Osteomyelitis, unspecified
09564 M8690   1 Osteomyelitis, unspecified (Multiple sites)                  Osteomyelitis, unspecified (Multiple sites)
09565 M8691   1 Osteomyelitis, unspecified (Shoulder region)                 Osteomyelitis, unspecified (Shoulder region)
09566 M8692   1 Osteomyelitis, unspecified (Upper arm)                       Osteomyelitis, unspecified (Upper arm)
09567 M8693   1 Osteomyelitis, unspecified (Forearm)                         Osteomyelitis, unspecified (Forearm)
09568 M8694   1 Osteomyelitis, unspecified (Hand)                            Osteomyelitis, unspecified (Hand)
09569 M8695   1 Osteomyelitis, unspecified (Pelvic region and thig           Osteomyelitis, unspecified (Pelvic region and thigh)
09570 M8696   1 Osteomyelitis, unspecified (Lower leg)                       Osteomyelitis, unspecified (Lower leg)
09571 M8697   1 Osteomyelitis, unspecified (Ankle and foot)                  Osteomyelitis, unspecified (Ankle and foot)
09572 M8698   1 Osteomyelitis, unspecified (Other)                           Osteomyelitis, unspecified (Other)
09573 M8699   1 Osteomyelitis, unspecified (Site unspecified)                Osteomyelitis, unspecified (Site unspecified)
09574 M87     0 Osteonecrosis                                                Osteonecrosis
09575 M870    0 Idiopathic aseptic necrosis of bone                          Idiopathic aseptic necrosis of bone
09576 M8700   1 Idiopathic aseptic necrosis of bone (Multiple site           Idiopathic aseptic necrosis of bone (Multiple sites)
09577 M8701   1 Idiopathic aseptic necrosis of bone (Shoulder regi           Idiopathic aseptic necrosis of bone (Shoulder region)
09578 M8702   1 Idiopathic aseptic necrosis of bone (Upper arm)              Idiopathic aseptic necrosis of bone (Upper arm)
09579 M8703   1 Idiopathic aseptic necrosis of bone (Forearm)                Idiopathic aseptic necrosis of bone (Forearm)
09580 M8704   1 Idiopathic aseptic necrosis of bone (Hand)                   Idiopathic aseptic necrosis of bone (Hand)
09581 M8705   1 Idiopathic aseptic necrosis of bone (Pelvic region           Idiopathic aseptic necrosis of bone (Pelvic region and thigh)
09582 M8706   1 Idiopathic aseptic necrosis of bone (Lower leg)              Idiopathic aseptic necrosis of bone (Lower leg)
09583 M8707   1 Idiopathic aseptic necrosis of bone (Ankle and foo           Idiopathic aseptic necrosis of bone (Ankle and foot)
09584 M8708   1 Idiopathic aseptic necrosis of bone (Other)                  Idiopathic aseptic necrosis of bone (Other)
09585 M8709   1 Idiopathic aseptic necrosis of bone (Site unspecif           Idiopathic aseptic necrosis of bone (Site unspecified)
09586 M871    0 Osteonecrosis due to drugs                                   Osteonecrosis due to drugs
09587 M8710   1 Osteonecrosis due to drugs (Multiple sites)                  Osteonecrosis due to drugs (Multiple sites)
09588 M8711   1 Osteonecrosis due to drugs (Shoulder region)                 Osteonecrosis due to drugs (Shoulder region)
09589 M8712   1 Osteonecrosis due to drugs (Upper arm)                       Osteonecrosis due to drugs (Upper arm)
09590 M8713   1 Osteonecrosis due to drugs (Forearm)                         Osteonecrosis due to drugs (Forearm)
09591 M8714   1 Osteonecrosis due to drugs (Hand)                            Osteonecrosis due to drugs (Hand)
09592 M8715   1 Osteonecrosis due to drugs (Pelvic region and thig           Osteonecrosis due to drugs (Pelvic region and thigh)
09593 M8716   1 Osteonecrosis due to drugs (Lower leg)                       Osteonecrosis due to drugs (Lower leg)
09594 M8717   1 Osteonecrosis due to drugs (Ankle and foot)                  Osteonecrosis due to drugs (Ankle and foot)
09595 M8718   1 Osteonecrosis due to drugs (Other)                           Osteonecrosis due to drugs (Other)
09596 M8719   1 Osteonecrosis due to drugs (Site unspecified)                Osteonecrosis due to drugs (Site unspecified)
09597 M872    0 Osteonecrosis due to previous trauma                         Osteonecrosis due to previous trauma
09598 M8720   1 Osteonecrosis due to previous trauma (Multiple sit           Osteonecrosis due to previous trauma (Multiple sites)
09599 M8721   1 Osteonecrosis due to previous trauma (Shoulder reg           Osteonecrosis due to previous trauma (Shoulder region)
09600 M8722   1 Osteonecrosis due to previous trauma (Upper arm)             Osteonecrosis due to previous trauma (Upper arm)
09601 M8723   1 Osteonecrosis due to previous trauma (Forearm)               Osteonecrosis due to previous trauma (Forearm)
09602 M8724   1 Osteonecrosis due to previous trauma (Hand)                  Osteonecrosis due to previous trauma (Hand)
09603 M8725   1 Osteonecrosis due to previous trauma (Pelvic regio           Osteonecrosis due to previous trauma (Pelvic region and thigh)
09604 M8726   1 Osteonecrosis due to previous trauma (Lower leg)             Osteonecrosis due to previous trauma (Lower leg)
09605 M8727   1 Osteonecrosis due to previous trauma (Ankle and fo           Osteonecrosis due to previous trauma (Ankle and foot)
09606 M8728   1 Osteonecrosis due to previous trauma (Other)                 Osteonecrosis due to previous trauma (Other)
09607 M8729   1 Osteonecrosis due to previous trauma (Site unspeci           Osteonecrosis due to previous trauma (Site unspecified)
09608 M873    0 Other secondary osteonecrosis                                Other secondary osteonecrosis
09609 M8730   1 Other secondary osteonecrosis (Multiple sites)               Other secondary osteonecrosis (Multiple sites)
09610 M8731   1 Other secondary osteonecrosis (Shoulder region)              Other secondary osteonecrosis (Shoulder region)
09611 M8732   1 Other secondary osteonecrosis (Upper arm)                    Other secondary osteonecrosis (Upper arm)
09612 M8733   1 Other secondary osteonecrosis (Forearm)                      Other secondary osteonecrosis (Forearm)
09613 M8734   1 Other secondary osteonecrosis (Hand)                         Other secondary osteonecrosis (Hand)
09614 M8735   1 Other secondary osteonecrosis (Pelvic region and t           Other secondary osteonecrosis (Pelvic region and thigh)
09615 M8736   1 Other secondary osteonecrosis (Lower leg)                    Other secondary osteonecrosis (Lower leg)
09616 M8737   1 Other secondary osteonecrosis (Ankle and foot)               Other secondary osteonecrosis (Ankle and foot)
09617 M8738   1 Other secondary osteonecrosis (Other)                        Other secondary osteonecrosis (Other)
09618 M8739   1 Other secondary osteonecrosis (Site unspecified)             Other secondary osteonecrosis (Site unspecified)
09619 M878    0 Other osteonecrosis                                          Other osteonecrosis
09620 M8780   1 Other osteonecrosis (Multiple sites)                         Other osteonecrosis (Multiple sites)
09621 M8781   1 Other osteonecrosis (Shoulder region)                        Other osteonecrosis (Shoulder region)
09622 M8782   1 Other osteonecrosis (Upper arm)                              Other osteonecrosis (Upper arm)
09623 M8783   1 Other osteonecrosis (Forearm)                                Other osteonecrosis (Forearm)
09624 M8784   1 Other osteonecrosis (Hand)                                   Other osteonecrosis (Hand)
09625 M8785   1 Other osteonecrosis (Pelvic region and thigh)                Other osteonecrosis (Pelvic region and thigh)
09626 M8786   1 Other osteonecrosis (Lower leg)                              Other osteonecrosis (Lower leg)
09627 M8787   1 Other osteonecrosis (Ankle and foot)                         Other osteonecrosis (Ankle and foot)
09628 M8788   1 Other osteonecrosis (Other)                                  Other osteonecrosis (Other)
09629 M8789   1 Other osteonecrosis (Site unspecified)                       Other osteonecrosis (Site unspecified)
09630 M879    0 Osteonecrosis, unspecified                                   Osteonecrosis, unspecified
09631 M8790   1 Osteonecrosis, unspecified (Multiple sites)                  Osteonecrosis, unspecified (Multiple sites)
09632 M8791   1 Osteonecrosis, unspecified (Shoulder region)                 Osteonecrosis, unspecified (Shoulder region)
09633 M8792   1 Osteonecrosis, unspecified (Upper arm)                       Osteonecrosis, unspecified (Upper arm)
09634 M8793   1 Osteonecrosis, unspecified (Forearm)                         Osteonecrosis, unspecified (Forearm)
09635 M8794   1 Osteonecrosis, unspecified (Hand)                            Osteonecrosis, unspecified (Hand)
09636 M8795   1 Osteonecrosis, unspecified (Pelvic region and thig           Osteonecrosis, unspecified (Pelvic region and thigh)
09637 M8796   1 Osteonecrosis, unspecified (Lower leg)                       Osteonecrosis, unspecified (Lower leg)
09638 M8797   1 Osteonecrosis, unspecified (Ankle and foot)                  Osteonecrosis, unspecified (Ankle and foot)
09639 M8798   1 Osteonecrosis, unspecified (Other)                           Osteonecrosis, unspecified (Other)
09640 M8799   1 Osteonecrosis, unspecified (Site unspecified)                Osteonecrosis, unspecified (Site unspecified)
09641 M88     0 Paget's disease of bone [osteitis deformans]                 Paget's disease of bone [osteitis deformans]
09642 M880    0 Paget's disease of skull                                     Paget's disease of skull
09643 M8800   1 Paget's disease of skull-Mult sites                          Paget's disease of skull-Mult sites
09644 M8801   1 Paget's disease of skull-Shldr region                        Paget's disease of skull-Shldr region
09645 M8802   1 Paget's disease of skull-Upper arm                           Paget's disease of skull-Upper arm
09646 M8803   1 Paget's disease of skull-Forearm                             Paget's disease of skull-Forearm
09647 M8804   1 Paget's disease of skull-Hand                                Paget's disease of skull-Hand
09648 M8805   1 Paget's disease of skull-Pelvic/Thigh                        Paget's disease of skull-Pelvic/Thigh
09649 M8806   1 Paget's disease of skull-Lower Leg                           Paget's disease of skull-Lower Leg
09650 M8807   1 Paget's disease of skull-Ankle/Foot                          Paget's disease of skull-Ankle/Foot
09651 M8808   1 Paget's disease of skull-Other                               Paget's disease of skull-Other
09652 M8809   1 Paget's disease of skull-Site unspec                         Paget's disease of skull-Site unspec
09653 M888    0 Paget's disease of other bones                               Paget's disease of other bones
09654 M8880   1 Paget's disease of other bones (Multiple sites)              Paget's disease of other bones (Multiple sites)
09655 M8881   1 Paget's disease of other bones (Shoulder region)             Paget's disease of other bones (Shoulder region)
09656 M8882   1 Paget's disease of other bones (Upper arm)                   Paget's disease of other bones (Upper arm)
09657 M8883   1 Paget's disease of other bones (Forearm)                     Paget's disease of other bones (Forearm)
09658 M8884   1 Paget's disease of other bones (Hand)                        Paget's disease of other bones (Hand)
09659 M8885   1 Paget's disease of other bones (Pelvic region and            Paget's disease of other bones (Pelvic region and thigh)
09660 M8886   1 Paget's disease of other bones (Lower leg)                   Paget's disease of other bones (Lower leg)
09661 M8887   1 Paget's disease of other bones (Ankle and foot)              Paget's disease of other bones (Ankle and foot)
09662 M8888   1 Paget's disease of other bones (Other)                       Paget's disease of other bones (Other)
09663 M8889   1 Paget's disease of other bones (Site unspecified)            Paget's disease of other bones (Site unspecified)
09664 M889    0 Paget's disease of bone, unspecified                         Paget's disease of bone, unspecified
09665 M8890   1 Paget's disease of bone, unspecified (Multiple sit           Paget's disease of bone, unspecified (Multiple sites)
09666 M8891   1 Paget's disease of bone, unspecified (Shoulder reg           Paget's disease of bone, unspecified (Shoulder region)
09667 M8892   1 Paget's disease of bone, unspecified (Upper arm)             Paget's disease of bone, unspecified (Upper arm)
09668 M8893   1 Paget's disease of bone, unspecified (Forearm)               Paget's disease of bone, unspecified (Forearm)
09669 M8894   1 Paget's disease of bone, unspecified (Hand)                  Paget's disease of bone, unspecified (Hand)
09670 M8895   1 Paget's disease of bone, unspecified (Pelvic regio           Paget's disease of bone, unspecified (Pelvic region and thigh)
09671 M8896   1 Paget's disease of bone, unspecified (Lower leg)             Paget's disease of bone, unspecified (Lower leg)
09672 M8897   1 Paget's disease of bone, unspecified (Ankle and fo           Paget's disease of bone, unspecified (Ankle and foot)
09673 M8898   1 Paget's disease of bone, unspecified (Other)                 Paget's disease of bone, unspecified (Other)
09674 M8899   1 Paget's disease of bone, unspecified (Site unspeci           Paget's disease of bone, unspecified (Site unspecified)
09675 M89     0 Other disorders of bone                                      Other disorders of bone
09676 M890    0 Algoneurodystrophy                                           Algoneurodystrophy
09677 M8900   1 Algoneurodystrophy (Multiple sites)                          Algoneurodystrophy (Multiple sites)
09678 M8901   1 Algoneurodystrophy (Shoulder region)                         Algoneurodystrophy (Shoulder region)
09679 M8902   1 Algoneurodystrophy (Upper arm)                               Algoneurodystrophy (Upper arm)
09680 M8903   1 Algoneurodystrophy (Forearm)                                 Algoneurodystrophy (Forearm)
09681 M8904   1 Algoneurodystrophy (Hand)                                    Algoneurodystrophy (Hand)
09682 M8905   1 Algoneurodystrophy (Pelvic region and thigh)                 Algoneurodystrophy (Pelvic region and thigh)
09683 M8906   1 Algoneurodystrophy (Lower leg)                               Algoneurodystrophy (Lower leg)
09684 M8907   1 Algoneurodystrophy (Ankle and foot)                          Algoneurodystrophy (Ankle and foot)
09685 M8908   1 Algoneurodystrophy (Other)                                   Algoneurodystrophy (Other)
09686 M8909   1 Algoneurodystrophy (Site unspecified)                        Algoneurodystrophy (Site unspecified)
09687 M891    0 Epiphyseal arrest                                            Epiphyseal arrest
09688 M8910   1 Epiphyseal arrest (Multiple sites)                           Epiphyseal arrest (Multiple sites)
09689 M8911   1 Epiphyseal arrest (Shoulder region)                          Epiphyseal arrest (Shoulder region)
09690 M8912   1 Epiphyseal arrest (Upper arm)                                Epiphyseal arrest (Upper arm)
09691 M8913   1 Epiphyseal arrest (Forearm)                                  Epiphyseal arrest (Forearm)
09692 M8914   1 Epiphyseal arrest (Hand)                                     Epiphyseal arrest (Hand)
09693 M8915   1 Epiphyseal arrest (Pelvic region and thigh)                  Epiphyseal arrest (Pelvic region and thigh)
09694 M8916   1 Epiphyseal arrest (Lower leg)                                Epiphyseal arrest (Lower leg)
09695 M8917   1 Epiphyseal arrest (Ankle and foot)                           Epiphyseal arrest (Ankle and foot)
09696 M8918   1 Epiphyseal arrest (Other)                                    Epiphyseal arrest (Other)
09697 M8919   1 Epiphyseal arrest (Site unspecified)                         Epiphyseal arrest (Site unspecified)
09698 M892    0 Other disorders of bone development and growth               Other disorders of bone development and growth
09699 M8920   1 Other disorders of bone development and growth (Mu           Other disorders of bone development and growth (Multiple sites)
09700 M8921   1 Other disorders of bone development and growth (Sh           Other disorders of bone development and growth (Shoulder region)
09701 M8922   1 Other disorders of bone development and growth (Up           Other disorders of bone development and growth (Upper arm)
09702 M8923   1 Other disorders of bone development and growth (Fo           Other disorders of bone development and growth (Forearm)
09703 M8924   1 Other disorders of bone development and growth (Ha           Other disorders of bone development and growth (Hand)
09704 M8925   1 Other disorders of bone development and growth (Pe           Other disorders of bone development and growth (Pelvic region and thigh)
09705 M8926   1 Other disorders of bone development and growth (Lo           Other disorders of bone development and growth (Lower leg)
09706 M8927   1 Other disorders of bone development and growth (An           Other disorders of bone development and growth (Ankle and foot)
09707 M8928   1 Other disorders of bone development and growth (Ot           Other disorders of bone development and growth (Other)
09708 M8929   1 Other disorders of bone development and growth (Si           Other disorders of bone development and growth (Site unspecified)
09709 M893    0 Hypertrophy of bone                                          Hypertrophy of bone
09710 M8930   1 Hypertrophy of bone (Multiple sites)                         Hypertrophy of bone (Multiple sites)
09711 M8931   1 Hypertrophy of bone (Shoulder region)                        Hypertrophy of bone (Shoulder region)
09712 M8932   1 Hypertrophy of bone (Upper arm)                              Hypertrophy of bone (Upper arm)
09713 M8933   1 Hypertrophy of bone (Forearm)                                Hypertrophy of bone (Forearm)
09714 M8934   1 Hypertrophy of bone (Hand)                                   Hypertrophy of bone (Hand)
09715 M8935   1 Hypertrophy of bone (Pelvic region and thigh)                Hypertrophy of bone (Pelvic region and thigh)
09716 M8936   1 Hypertrophy of bone (Lower leg)                              Hypertrophy of bone (Lower leg)
09717 M8937   1 Hypertrophy of bone (Ankle and foot)                         Hypertrophy of bone (Ankle and foot)
09718 M8938   1 Hypertrophy of bone (Other)                                  Hypertrophy of bone (Other)
09719 M8939   1 Hypertrophy of bone (Site unspecified)                       Hypertrophy of bone (Site unspecified)
09720 M894    0 Other hypertrophic osteo-arthropathy                         Other hypertrophic osteo-arthropathy
09721 M8940   1 Other hypertrophic osteoarthropathy (Multiple site           Other hypertrophic osteoarthropathy (Multiple sites)
09722 M8941   1 Other hypertrophic osteoarthropathy (Shoulder regi           Other hypertrophic osteoarthropathy (Shoulder region)
09723 M8942   1 Other hypertrophic osteoarthropathy (Upper arm)              Other hypertrophic osteoarthropathy (Upper arm)
09724 M8943   1 Other hypertrophic osteoarthropathy (Forearm)                Other hypertrophic osteoarthropathy (Forearm)
09725 M8944   1 Other hypertrophic osteoarthropathy (Hand)                   Other hypertrophic osteoarthropathy (Hand)
09726 M8945   1 Other hypertrophic osteoarthropathy (Pelvic region           Other hypertrophic osteoarthropathy (Pelvic region and thigh)
09727 M8946   1 Other hypertrophic osteoarthropathy (Lower leg)              Other hypertrophic osteoarthropathy (Lower leg)
09728 M8947   1 Other hypertrophic osteoarthropathy (Ankle and foo           Other hypertrophic osteoarthropathy (Ankle and foot)
09729 M8948   1 Other hypertrophic osteoarthropathy (Other)                  Other hypertrophic osteoarthropathy (Other)
09730 M8949   1 Other hypertrophic osteoarthropathy (Site unspecif           Other hypertrophic osteoarthropathy (Site unspecified)
09731 M895    0 Osteolysis                                                   Osteolysis
09732 M8950   1 Osteolysis (Multiple sites)                                  Osteolysis (Multiple sites)
09733 M8951   1 Osteolysis (Shoulder region)                                 Osteolysis (Shoulder region)
09734 M8952   1 Osteolysis (Upper arm)                                       Osteolysis (Upper arm)
09735 M8953   1 Osteolysis (Forearm)                                         Osteolysis (Forearm)
09736 M8954   1 Osteolysis (Hand)                                            Osteolysis (Hand)
09737 M8955   1 Osteolysis (Pelvic region and thigh)                         Osteolysis (Pelvic region and thigh)
09738 M8956   1 Osteolysis (Lower leg)                                       Osteolysis (Lower leg)
09739 M8957   1 Osteolysis (Ankle and foot)                                  Osteolysis (Ankle and foot)
09740 M8958   1 Osteolysis (Other)                                           Osteolysis (Other)
09741 M8959   1 Osteolysis (Site unspecified)                                Osteolysis (Site unspecified)
09742 M896    0 Osteopathy after poliomyelitis                               Osteopathy after poliomyelitis
09743 M8960   1 Osteopathy after poliomyelitis (Multiple sites)              Osteopathy after poliomyelitis (Multiple sites)
09744 M8961   1 Osteopathy after poliomyelitis (Shoulder region)             Osteopathy after poliomyelitis (Shoulder region)
09745 M8962   1 Osteopathy after poliomyelitis (Upper arm)                   Osteopathy after poliomyelitis (Upper arm)
09746 M8963   1 Osteopathy after poliomyelitis (Forearm)                     Osteopathy after poliomyelitis (Forearm)
09747 M8964   1 Osteopathy after poliomyelitis (Hand)                        Osteopathy after poliomyelitis (Hand)
09748 M8965   1 Osteopathy after poliomyelitis (Pelvic region and            Osteopathy after poliomyelitis (Pelvic region and thigh)
09749 M8966   1 Osteopathy after poliomyelitis (Lower leg)                   Osteopathy after poliomyelitis (Lower leg)
09750 M8967   1 Osteopathy after poliomyelitis (Ankle and foot)              Osteopathy after poliomyelitis (Ankle and foot)
09751 M8968   1 Osteopathy after poliomyelitis (Other)                       Osteopathy after poliomyelitis (Other)
09752 M8969   1 Osteopathy after poliomyelitis (Site unspecified)            Osteopathy after poliomyelitis (Site unspecified)
09753 M898    0 Other specified disorders of bone                            Other specified disorders of bone
09754 M8980   1 Other specified disorders of bone (Multiple sites)           Other specified disorders of bone (Multiple sites)
09755 M8981   1 Other specified disorders of bone (Shoulder region           Other specified disorders of bone (Shoulder region)
09756 M8982   1 Other specified disorders of bone (Upper arm)                Other specified disorders of bone (Upper arm)
09757 M8983   1 Other specified disorders of bone (Forearm)                  Other specified disorders of bone (Forearm)
09758 M8984   1 Other specified disorders of bone (Hand)                     Other specified disorders of bone (Hand)
09759 M8985   1 Other specified disorders of bone (Pelvic region a           Other specified disorders of bone (Pelvic region and thigh)
09760 M8986   1 Other specified disorders of bone (Lower leg)                Other specified disorders of bone (Lower leg)
09761 M8987   1 Other specified disorders of bone (Ankle and foot)           Other specified disorders of bone (Ankle and foot)
09762 M8988   1 Other specified disorders of bone (Other)                    Other specified disorders of bone (Other)
09763 M8989   1 Other specified disorders of bone (Site unspecifie           Other specified disorders of bone (Site unspecified)
09764 M899    0 Disorder of bone, unspecified                                Disorder of bone, unspecified
09765 M8990   1 Disorder of bone, unspecified (Multiple sites)               Disorder of bone, unspecified (Multiple sites)
09766 M8991   1 Disorder of bone, unspecified (Shoulder region)              Disorder of bone, unspecified (Shoulder region)
09767 M8992   1 Disorder of bone, unspecified (Upper arm)                    Disorder of bone, unspecified (Upper arm)
09768 M8993   1 Disorder of bone, unspecified (Forearm)                      Disorder of bone, unspecified (Forearm)
09769 M8994   1 Disorder of bone, unspecified (Hand)                         Disorder of bone, unspecified (Hand)
09770 M8995   1 Disorder of bone, unspecified (Pelvic region and t           Disorder of bone, unspecified (Pelvic region and thigh)
09771 M8996   1 Disorder of bone, unspecified (Lower leg)                    Disorder of bone, unspecified (Lower leg)
09772 M8997   1 Disorder of bone, unspecified (Ankle and foot)               Disorder of bone, unspecified (Ankle and foot)
09773 M8998   1 Disorder of bone, unspecified (Other)                        Disorder of bone, unspecified (Other)
09774 M8999   1 Disorder of bone, unspecified (Site unspecified)             Disorder of bone, unspecified (Site unspecified)
09775 M90     0 Osteopathies in diseases classified elsewhere                Osteopathies in diseases classified elsewhere
09776 M900    0 Tuberculosis of bone                                         Tuberculosis of bone
09777 M9000   1 Tuberculosis of bone (Multiple sites)                        Tuberculosis of bone (Multiple sites)
09778 M9001   1 Tuberculosis of bone (Shoulder region)                       Tuberculosis of bone (Shoulder region)
09779 M9002   1 Tuberculosis of bone (Upper arm)                             Tuberculosis of bone (Upper arm)
09780 M9003   1 Tuberculosis of bone (Forearm)                               Tuberculosis of bone (Forearm)
09781 M9004   1 Tuberculosis of bone (Hand)                                  Tuberculosis of bone (Hand)
09782 M9005   1 Tuberculosis of bone (Pelvic region and thigh)               Tuberculosis of bone (Pelvic region and thigh)
09783 M9006   1 Tuberculosis of bone (Lower leg)                             Tuberculosis of bone (Lower leg)
09784 M9007   1 Tuberculosis of bone (Ankle and foot)                        Tuberculosis of bone (Ankle and foot)
09785 M9008   1 Tuberculosis of bone (Other)                                 Tuberculosis of bone (Other)
09786 M9009   1 Tuberculosis of bone (Site unspecified)                      Tuberculosis of bone (Site unspecified)
09787 M901    0 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere
09788 M9010   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Multiple sites)
09789 M9011   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Shoulder region)
09790 M9012   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Upper arm)
09791 M9013   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Forearm)
09792 M9014   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Hand)
09793 M9015   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Pelvic region and thigh)
09794 M9016   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Lower leg)
09795 M9017   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Ankle and foot)
09796 M9018   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Other)
09797 M9019   1 Periostitis in other infectious diseases classifie           Periostitis in other infectious diseases classified elsewhere (Site unspecified)
09798 M902    0 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere
09799 M9020   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Multiple sites)
09800 M9021   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Shoulder region)
09801 M9022   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Upper arm)
09802 M9023   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Forearm)
09803 M9024   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Hand)
09804 M9025   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Pelvic region and thigh)
09805 M9026   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Lower leg)
09806 M9027   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Ankle and foot)
09807 M9028   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Other)
09808 M9029   1 Osteopathy in other infectious diseases classified           Osteopathy in other infectious diseases classified elsewhere (Site unspecified)
09809 M903    0 Osteonecrosis in caisson disease                             Osteonecrosis in caisson disease
09810 M9030   1 Osteonecrosis in caisson disease (Multiple sites)            Osteonecrosis in caisson disease (Multiple sites)
09811 M9031   1 Osteonecrosis in caisson disease (Shoulder region)           Osteonecrosis in caisson disease (Shoulder region)
09812 M9032   1 Osteonecrosis in caisson disease (Upper arm)                 Osteonecrosis in caisson disease (Upper arm)
09813 M9033   1 Osteonecrosis in caisson disease (Forearm)                   Osteonecrosis in caisson disease (Forearm)
09814 M9034   1 Osteonecrosis in caisson disease (Hand)                      Osteonecrosis in caisson disease (Hand)
